#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1943 Kai (Japan);1943 Kai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!! (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
AV Poker - World Gambler (Japan);AV Poker - World Gambler (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Adventure Island (Japan);Adventure Island (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Aero Blasters (Japan);Aero Blasters (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Aero Blasters (USA);Aero Blasters (USA);ra-tg16;;;;;;;;;;;;;;;;;;
After Burner II (Japan);After Burner II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Air Zonk (USA);Air Zonk (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Alien Crush (Japan);Alien Crush (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Alien Crush (USA);Alien Crush (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Andre' Panza Kick Boxing (USA);Andre' Panza Kick Boxing (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Ankoku Densetsu (Japan);Ankoku Densetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Aoi Blink (Japan);Aoi Blink (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Appare! Gateball (Japan);Appare! Gateball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Armed F (Japan);Armed F (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Artist Tool (Japan);Artist Tool (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Atomic Robo-Kid Special (Japan);Atomic Robo-Kid Special (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ballistix (Japan);Ballistix (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ballistix (USA);Ballistix (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Bari Bari Densetsu (Japan);Bari Bari Densetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Barunba (Japan);Barunba (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Batman (Japan);Batman (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Battle Lode Runner (Japan);Battle Lode Runner (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Battle Royale (USA);Battle Royale (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Be Ball (Japan);Be Ball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Benkei Gaiden (Japan);Benkei Gaiden (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
